,First Name,Last Name,Email,Region,Join Date,Purchase Frequency,Loyalty Score,Before CRM Sales,After CRM Sales,Loyalty Score Before,Loyalty Score After,Campaign Open Rate (%),Campaign Click Rate (%)
21,Amy,Underwood,davidbrennan@ramirez.net,South,2023-08-27,11,27,14000000.0,18000000.0,40.0,55.0,35.0,18.0
22,Danielle,Torres,elliottfrank@hotmail.com,Midwest,2024-07-31,20,10,13500000.0,17500000.0,42.0,54.0,38.0,19.0
23,Joseph,Thompson,glee@hotmail.com,Southeast,2024-07-03,5,69,16000000.0,21000000.0,45.0,58.0,40.0,20.0
24,Paul,Hughes,roblesluis@hotmail.com,Midwest,2024-12-25,5,60,13500000.0,17500000.0,42.0,54.0,38.0,19.0
25,Joshua,Gibson,amy70@guerrero.com,Southeast,2023-06-14,20,89,16000000.0,21000000.0,45.0,58.0,40.0,20.0
26,Jesse,Webster,gailclay@gray.com,Southeast,2024-07-21,10,99,16000000.0,21000000.0,45.0,58.0,40.0,20.0
27,Paul,Gilmore,brian29@yahoo.com,Midwest,2025-01-15,7,5,13500000.0,17500000.0,42.0,54.0,38.0,19.0
28,Jason,Morgan,stuartalexander@gmail.com,Midwest,2024-01-09,12,35,13500000.0,17500000.0,42.0,54.0,38.0,19.0
29,Justin,Owens,wanda28@ford.com,South,2023-05-26,18,92,14000000.0,18000000.0,40.0,55.0,35.0,18.0
30,Robert,Johnson,jamie67@yahoo.com,South,2024-06-22,20,64,14000000.0,18000000.0,40.0,55.0,35.0,18.0
31,Antonio,Miller,yperez@hotmail.com,Southeast,2023-10-20,20,59,16000000.0,21000000.0,45.0,58.0,40.0,20.0
32,Todd,Davis,sean39@brandt.org,South,2024-03-31,4,32,14000000.0,18000000.0,40.0,55.0,35.0,18.0
33,Jeffrey,Bryant,elizabethbush@wilcox-costa.info,Midwest,2024-04-07,17,34,13500000.0,17500000.0,42.0,54.0,38.0,19.0
34,Mary,Murphy,kristimyers@noble-christian.org,Midwest,2023-12-23,13,75,13500000.0,17500000.0,42.0,54.0,38.0,19.0
35,Brian,Landry,jill70@gmail.com,Southeast,2023-09-12,7,18,16000000.0,21000000.0,45.0,58.0,40.0,20.0
36,Joseph,Taylor,travisstephens@garcia-mccarthy.com,Southeast,2025-03-20,2,97,16000000.0,21000000.0,45.0,58.0,40.0,20.0
37,Sarah,Vasquez,jessica44@gmail.com,South,2023-12-13,3,20,14000000.0,18000000.0,40.0,55.0,35.0,18.0
38,Justin,Lopez,balexander@hotmail.com,Southeast,2025-04-04,13,77,16000000.0,21000000.0,45.0,58.0,40.0,20.0
39,Carrie,Ray,elizabethcrosby@wood.com,South,2023-12-17,12,77,14000000.0,18000000.0,40.0,55.0,35.0,18.0
40,Joseph,Bender,ltorres@hatfield-parker.com,Northeast,2023-08-17,16,33,,,,,,
41,Betty,Olson,arthurbender@johnson.com,Northeast,2025-03-28,0,88,,,,,,
42,Jasmine,Griffin,nguyencrystal@wood.com,Midwest,2023-08-06,17,97,13500000.0,17500000.0,42.0,54.0,38.0,19.0
43,Kimberly,Little,rhondarivera@hotmail.com,South,2024-02-29,20,44,14000000.0,18000000.0,40.0,55.0,35.0,18.0
44,Toni,Rice,fwilson@gmail.com,South,2023-10-11,13,21,14000000.0,18000000.0,40.0,55.0,35.0,18.0
45,Daniel,Padilla,nroy@duffy-lewis.net,Southeast,2024-02-24,8,65,16000000.0,21000000.0,45.0,58.0,40.0,20.0
46,Douglas,Cooper,susan19@herrera-holland.com,Midwest,2025-01-28,16,14,13500000.0,17500000.0,42.0,54.0,38.0,19.0
47,David,Bradford,noah62@chambers.net,Midwest,2024-07-19,9,82,13500000.0,17500000.0,42.0,54.0,38.0,19.0
48,Brittany,Gilbert,david28@yahoo.com,Southeast,2023-11-19,6,20,16000000.0,21000000.0,45.0,58.0,40.0,20.0
49,Vanessa,Gonzales,allisonmark@hotmail.com,Southeast,2023-09-03,5,70,16000000.0,21000000.0,45.0,58.0,40.0,20.0
50,Russell,Patel,qmartin@hotmail.com,Northeast,2024-09-03,16,1,,,,,,
51,Megan,Myers,pgardner@hammond-berger.com,Southeast,2024-01-27,15,3,16000000.0,21000000.0,45.0,58.0,40.0,20.0
52,Nathan,Ponce,michelle10@yahoo.com,South,2024-07-19,11,40,14000000.0,18000000.0,40.0,55.0,35.0,18.0
53,Jeffrey,Gutierrez,kvazquez@martinez.com,South,2023-08-08,7,73,14000000.0,18000000.0,40.0,55.0,35.0,18.0
54,Nicole,James,ustanton@hotmail.com,West,2023-12-22,2,94,27000000.0,28000000.0,60.0,65.0,25.0,12.0
55,Allen,Smith,hwatkins@jackson-anderson.biz,Southeast,2023-07-17,2,98,16000000.0,21000000.0,45.0,58.0,40.0,20.0
56,Paul,Gardner,mitchellchristopher@jones.com,Southeast,2024-10-17,4,17,16000000.0,21000000.0,45.0,58.0,40.0,20.0
57,Rachel,Norris,jamesthomas@yahoo.com,Midwest,2024-04-23,17,22,13500000.0,17500000.0,42.0,54.0,38.0,19.0
58,Austin,White,castrocarrie@yahoo.com,South,2024-12-14,19,55,14000000.0,18000000.0,40.0,55.0,35.0,18.0
59,Matthew,Hamilton,ramirezbill@hotmail.com,Northeast,2024-12-03,17,97,,,,,,
60,Roy,Johnson,xgray@gmail.com,Midwest,2025-02-23,6,92,13500000.0,17500000.0,42.0,54.0,38.0,19.0
61,Vickie,Campbell,amythornton@houston-mcguire.biz,South,2024-01-14,20,48,14000000.0,18000000.0,40.0,55.0,35.0,18.0
62,Brenda,Mills,kathleen28@yates.com,Southeast,2024-10-13,16,58,16000000.0,21000000.0,45.0,58.0,40.0,20.0
63,Katherine,Price,emann@yahoo.com,South,2024-12-12,7,9,14000000.0,18000000.0,40.0,55.0,35.0,18.0
64,Justin,Martinez,jsandoval@brown.com,South,2024-01-14,18,71,14000000.0,18000000.0,40.0,55.0,35.0,18.0
65,Michael,Hunter,jeremymays@yahoo.com,South,2024-04-04,7,1,14000000.0,18000000.0,40.0,55.0,35.0,18.0
66,Brooke,Stein,bkennedy@hammond.com,South,2024-07-29,20,8,14000000.0,18000000.0,40.0,55.0,35.0,18.0
67,Christopher,Kirby,fsilva@gonzalez-cruz.com,South,2024-06-21,1,43,14000000.0,18000000.0,40.0,55.0,35.0,18.0
68,Mason,Bell,ujenkins@wiggins.biz,South,2024-04-16,7,36,14000000.0,18000000.0,40.0,55.0,35.0,18.0
69,Jennifer,Coleman,susan14@williams.org,Midwest,2024-04-09,6,70,13500000.0,17500000.0,42.0,54.0,38.0,19.0
70,Catherine,Esparza,adamortiz@gmail.com,South,2025-04-14,18,74,14000000.0,18000000.0,40.0,55.0,35.0,18.0
71,Steven,Bass,johnsonfrank@padilla.com,Southeast,2023-06-15,15,53,16000000.0,21000000.0,45.0,58.0,40.0,20.0
72,Cody,Lyons,reidamanda@bryant.com,South,2023-04-25,3,85,14000000.0,18000000.0,40.0,55.0,35.0,18.0
73,Omar,Sanders,collinsadam@gmail.com,Southeast,2024-03-01,13,53,16000000.0,21000000.0,45.0,58.0,40.0,20.0
74,Denise,Pearson,taylornorman@hotmail.com,Southeast,2024-07-16,1,87,16000000.0,21000000.0,45.0,58.0,40.0,20.0
75,Heather,Peterson,qkelly@mendez.info,Midwest,2024-06-07,20,13,13500000.0,17500000.0,42.0,54.0,38.0,19.0
76,Stephen,Carney,vharris@yahoo.com,South,2023-09-24,10,14,14000000.0,18000000.0,40.0,55.0,35.0,18.0
77,Virginia,Wilson,melissagarcia@yahoo.com,South,2024-01-08,6,69,14000000.0,18000000.0,40.0,55.0,35.0,18.0
78,Kimberly,Diaz,denisehall@warren.org,Southeast,2024-01-08,13,24,16000000.0,21000000.0,45.0,58.0,40.0,20.0
79,Sherri,Smith,douglas57@reid.com,South,2023-11-02,7,10,14000000.0,18000000.0,40.0,55.0,35.0,18.0
80,Leonard,Johnson,lwells@simmons.com,Southeast,2024-05-06,17,13,16000000.0,21000000.0,45.0,58.0,40.0,20.0
81,John,Hudson,jensenshelly@yahoo.com,South,2024-08-10,17,2,14000000.0,18000000.0,40.0,55.0,35.0,18.0
82,Kathy,Wilkerson,ylarson@gmail.com,Northeast,2024-07-25,7,22,,,,,,
83,Randy,Wood,esmith@yahoo.com,Southeast,2025-02-12,15,28,16000000.0,21000000.0,45.0,58.0,40.0,20.0
84,Wanda,Shannon,lucas08@gmail.com,Midwest,2024-05-31,1,22,13500000.0,17500000.0,42.0,54.0,38.0,19.0
85,Kenneth,Diaz,sandersjack@curry.biz,Southeast,2023-06-14,12,34,16000000.0,21000000.0,45.0,58.0,40.0,20.0
86,Katherine,Benitez,donna15@rodriguez-howell.info,West,2024-08-23,14,37,27000000.0,28000000.0,60.0,65.0,25.0,12.0
87,Jillian,Wells,raymondwilkerson@fuentes-garner.com,Southeast,2023-11-30,17,85,16000000.0,21000000.0,45.0,58.0,40.0,20.0
88,Jason,Stewart,jenniferjohnson@yahoo.com,Midwest,2025-03-12,4,25,13500000.0,17500000.0,42.0,54.0,38.0,19.0
89,Kaitlyn,Riggs,jonathanvaughan@yahoo.com,South,2023-11-14,1,75,14000000.0,18000000.0,40.0,55.0,35.0,18.0
90,Kyle,Mckenzie,robinhammond@day.com,Midwest,2025-02-20,1,96,13500000.0,17500000.0,42.0,54.0,38.0,19.0
91,Andrew,Mcgrath,johnwise@hotmail.com,South,2024-05-28,1,75,14000000.0,18000000.0,40.0,55.0,35.0,18.0
92,Dustin,Wall,elizabethhodge@yahoo.com,Southeast,2023-09-18,16,21,16000000.0,21000000.0,45.0,58.0,40.0,20.0
93,Brianna,Mccoy,kirklori@gmail.com,South,2024-06-10,16,11,14000000.0,18000000.0,40.0,55.0,35.0,18.0
94,Connor,Duncan,michael92@kelley.com,Midwest,2025-02-10,2,77,13500000.0,17500000.0,42.0,54.0,38.0,19.0
95,Alexander,Nichols,christophertate@gmail.com,South,2025-03-22,7,52,14000000.0,18000000.0,40.0,55.0,35.0,18.0
96,Chad,Williams,jason60@gmail.com,South,2024-06-08,18,32,14000000.0,18000000.0,40.0,55.0,35.0,18.0
97,Thomas,Lynch,bbauer@sandoval.org,Southeast,2025-03-30,1,80,16000000.0,21000000.0,45.0,58.0,40.0,20.0
98,Shannon,Whitney,jenniferwilliams@hotmail.com,South,2024-07-21,18,73,14000000.0,18000000.0,40.0,55.0,35.0,18.0
99,Heather,Johnson,fesparza@gmail.com,Southeast,2023-12-28,8,27,16000000.0,21000000.0,45.0,58.0,40.0,20.0
